keyword,search_volume,intent,commercial_value,difficulty,current_position,target_position,primary_owning_url,role,secondary_supporting_urls,title_coverage,meta_coverage,h1_coverage,h2_coverage,body_coverage,faq_coverage,internal_anchor_coverage,cannibalisation_risk,competitor_gap,serp_similarity,optimization_score,next_action,silo,page_visitors,page_pageviews,page_conversions,page_seconds,page_bounce,page_sessions,behaviour_source,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,gsc_ranking_url,demand_share
catering in dubai,2400,commercial,10896.0,29,47,3,/asian-catering-dubai,sub,/afternoon-tea-catering-dubai /allergy-safe-catering-dubai /arabic-catering-dubai /baby-shower-catering-dubai /bbq-catering-dubai /best-catering-companies-dubai,False,False,False,False,6,True,none,medium — many bodies say it,,,7,"an inbound anchor from a same-silo page; Google ranks /catering-dubai for this, not the owner — move the keyword or the content",Cuisines and Dietary,1,1,0,,,0,,0,61,0,46.8,/catering-dubai,0.008
catering dubai,2400,commercial,10896.0,21,59,3,/catering-dubai,primary,/ /afternoon-tea-catering-dubai /allergy-safe-catering-dubai /arabic-catering-dubai /asian-catering-dubai /baby-shower-catering-dubai,True,True,True,True,7,True,exact,high — used in other pages' headings,"competitor #6, we not in top 30",1.0,10,"Google ranks /catering-packages-dubai for this, not the owner — move the keyword or the content; remove it from 6 other page(s)' headings",Catering,80,211,0,47.5,0,2,ga4,0,150,0,59.1,/catering-packages-dubai,0.021
catering service in dubai,2400,commercial,10896.0,8,44,3,/catering-dubai,sub,/allergy-safe-catering-dubai /blog/corporate-catering-full-service-vs-drop-off /blog/ramadan-iftar-catering-trends-2026 /blog/yacht-party-menu-ideas-dubai,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.3,2,write one sentence that says it; cover it in a FAQ answer; an inbound anchor from a same-silo page; merge → /best-catering-companies-dubai,Catering,80,211,0,47.5,0,2,ga4,0,2,0,44.5,/catering-dubai,0.0
catering services dubai,2400,commercial,10896.0,8,47,3,/catering-dubai,sub,/best-catering-companies-dubai,False,False,False,False,0,False,partial,medium — SERP looks like another page,"competitor #6, we not in top 30",0.3,2,write one sentence that says it; cover it in a FAQ answer; an inbound anchor from a same-silo page,Catering,80,211,0,47.5,0,2,ga4,0,63,0,46.9,/catering-dubai,0.009
catering services in dubai,2400,commercial,10896.0,14,49,3,/catering-dubai,sub,/cuisines-dubai,False,True,False,False,1,False,partial,medium — SERP looks like another page,"competitor #5, we not in top 30",0.3,5,a second natural mention; cover it in a FAQ answer; an inbound anchor from a same-silo page,Catering,80,211,0,47.5,0,2,ga4,0,14,0,48.6,/catering-dubai,0.002
catering companies in dubai,1000,commercial,5070.0,25,52,3,/best-catering-companies-dubai,sub,/catering-dubai /how-to-choose-caterer-dubai,False,False,False,True,5,False,exact,low,no tracked competitor in top 30,0.5,4,remove it from the heading (subs live in sentences); cover it in a FAQ answer,Catering,0,0,0,,1.0,1,first-party,0,16,0,51.8,/catering-dubai,0.005
catering company dubai,1000,commercial,5070.0,22,55,3,/best-catering-companies-dubai,sub,/about,False,False,False,False,3,False,partial,low,"competitor #8, we not in top 30",0.5,6,"cover it in a FAQ answer; an inbound anchor from a same-silo page; Google ranks /catering-dubai for this, not the owner — move the keyword or the content",Catering,0,0,0,,1.0,1,first-party,0,48,0,55.3,/catering-dubai,0.016
catering company in dubai,1000,commercial,5070.0,22,56,3,/best-catering-companies-dubai,sub,/blog/corporate-event-catering-ideas-dubai /blog/vegan-catering-dubai-guide,False,False,False,False,2,False,partial,low,"competitor #4, we not in top 30",0.5,6,cover it in a FAQ answer; an inbound anchor from a same-silo page,Catering,0,0,0,,1.0,1,first-party,0,13,0,55.6,/catering-dubai,0.004
chef jobs dubai,720,transactional,460.8,0,,3,/become-a-mychef,sub,,True,True,True,True,2,True,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.07,5,remove it from the heading (subs live in sentences); an inbound anchor from a same-silo page,Partners / Recruit,2,2,0,,,0,,,,,,,
chefs dubai,720,commercial,0,0,43,3,/our-chefs,sub,/,True,True,True,True,4,False,exact,medium — SERP looks like another page,"competitor #7, we not in top 30",0.1,5,remove it from the heading (subs live in sentences); cover it in a FAQ answer,Private Chef,11,14,1,58,0.444,9,first-party,0,7,0,43,/,0.003
luxury dining in dubai,590,informational,1303.9,8,,3,/luxury-dining-experiences,sub,,False,False,False,True,1,True,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,2,a second natural mention; remove it from the heading (subs live in sentences); an inbound anchor from a same-silo page,Dining Experiences,49,107,0,267.3,0.3333,3,ga4,,,,,,
romantic dinner dubai,590,informational,1156.4,0,,3,/romantic-dinner-dubai,primary,/apartment-private-dining-dubai /blog/private-chef-date-night-dubai /gift-cards /luxury-dinner-planning-guide-dubai /mystery-dining-dubai /private-cooking-classes-dubai,True,True,True,True,13,False,exact,medium — many bodies say it,no tracked competitor in top 30,1.0,9,answer a FAQ that contains it,Dining Experiences,3,3,0,13,1.0,3,first-party,,,,,,
meal prep dubai,590,transactional,4124.1,21,,3,/weekly-meal-prep-dubai,primary,/fitness-meal-prep-dubai /full-time-private-chef-dubai /kids-nutrition-chef-dubai /mychef-membership /part-time-private-chef-dubai /postpartum-meal-prep-dubai,True,True,True,True,4,True,exact,medium — many bodies say it,no tracked competitor in top 30,1.0,10,hold — nothing to do,Private Chef,8,10,0,2,1.0,3,first-party,,,,,,
healthy meal plan dubai,390,commercial,2102.1,21,,3,/wellness-meal-prep-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.4,3,a second natural mention; cover it in a FAQ answer; an inbound anchor from a same-silo page,Private Chef,6,11,0,16,0.429,7,first-party,,,,,,
yacht dinner in dubai,390,transactional,748.8,10,,3,/yacht-catering-guide-dubai,sub,,False,False,False,False,1,False,partial,low,no tracked competitor in top 30,,3,a second natural mention; cover it in a FAQ answer; an inbound anchor from a same-silo page,Blog and Guides,1,1,0,,,0,,,,,,,
private chef jobs dubai,320,transactional,51.2,0,,3,/become-a-mychef,primary,,True,True,True,True,2,True,partial,low,"competitor #18, we not in top 30",1.0,9,get an inbound link with this anchor,Partners / Recruit,2,2,0,,,0,,,,,,,
catering companies in uae,320,commercial,0,26,,3,/cuisines-dubai,sub,,False,False,False,False,4,False,partial,medium — SERP looks like another page,"competitor #6, we not in top 30",0.08,5,cover it in a FAQ answer; an inbound anchor from a same-silo page,Cuisines and Dietary,11,32,1,1345.0,0,1,ga4,,,,,,
private chefs in dubai,320,commercial,1020.8,0,27,3,/how-we-vet-our-chefs,sub,/blog/how-to-hire-a-private-chef-dubai,False,False,True,False,1,False,partial,medium — SERP looks like another page,"no tracked competitor in top 30, we #27",0.27,1,a second natural mention; remove it from the heading (subs live in sentences); cover it in a FAQ answer; an inbound anchor from a same-silo page; merge → /private-chef-dubai/how-it-works,Trust / Utility,1,1,0,2,0.5,2,first-party,,,,,,
private chefs dubai,320,commercial,1020.8,0,37,3,/our-chefs,primary,/,True,True,True,True,4,False,exact,low,no tracked competitor in top 30,1.0,9,"answer a FAQ that contains it; Google ranks / for this, not the owner — move the keyword or the content",Private Chef,11,14,1,58,0.444,9,first-party,0,40,0,37.1,/,0.042
private chef dubai,320,commercial,1020.8,0,30,3,/private-chef-dubai,primary,/ /apartment-private-dining-dubai /blog /blog/best-private-chef-birthday-dinner-dubai /blog/brunch-at-home-dubai /blog/corporate-catering-full-service-vs-drop-off,True,False,True,True,5,True,exact,medium — many bodies say it,"competitor #2, we #23",1.0,9,"say it in the meta description; Google ranks / for this, not the owner — move the keyword or the content",Private Chef,114,355,0,143.3,0.3571,14,ga4,4,434,0.0092,30.0,/,0.452
desert dinner in dubai,260,informational,871.0,2,,5,/blog/desert-dinner-party-dubai,sub,,False,False,False,False,1,False,partial,low,no tracked competitor in top 30,0.5,3,a second natural mention; cover it in a FAQ answer; an inbound anchor from a same-silo page,Blog and Guides,0,0,0,,,0,,,,,,,
desert dining dubai,260,informational,871.0,2,,5,/desert-dining-dubai,primary,/blog/desert-dinner-party-dubai /tourist-villa-chef-dubai,True,True,True,True,8,True,exact,low,no tracked competitor in top 30,1.0,10,hold — nothing to do,Dining Experiences,2,2,0,,,0,,,,,,,
