path,http_status,route_status,sitemap_present,canonical,robots,page_family,primary_keyword,paid_destination,editorial_review,visual_review,implementation
/,200,indexable,True,https://www.mychef.ae/,"index, follow",Brand / Homepage,mychef dubai,False,pending page-family review,not yet reviewed,kept: explicit homepage preservation lock
/catering-dubai,200,indexable,True,https://www.mychef.ae/catering-dubai,"index, follow",Catering,catering dubai,False,reported issues checked against current source and live HTML,desktop browser inspected; phone review pending,draft copy patch prepared; approval required
/birthday-catering-dubai,200,indexable,True,https://www.mychef.ae/birthday-catering-dubai,"index, follow",Private Events,birthday catering dubai,True,reported issues checked against current source and live HTML,desktop browser inspected; phone review pending,kept pending page-family approval
/yachts,200,indexable,True,https://www.mychef.ae/yachts,"index, follow",Private Chef,yacht catering dubai,True,reported issues checked against current source and live HTML,desktop browser inspected; phone review pending,kept pending page-family approval
/corporate,200,indexable,True,https://www.mychef.ae/corporate,"index, follow",Corporate Catering,corporate catering dubai,False,reported issues checked against current source and live HTML,desktop browser inspected; phone review pending,kept pending page-family approval
/corporate-event-catering-dubai,200,indexable,True,https://www.mychef.ae/corporate-event-catering-dubai,"index, follow",Corporate Catering,corporate event catering dubai,False,pending page-family review,not yet reviewed,kept pending page-family approval
/events,200,indexable,True,https://www.mychef.ae/events,"index, follow",Private Events,event catering dubai,False,pending page-family review,not yet reviewed,kept pending page-family approval
/blog/best-private-chef-birthday-dinner-dubai,200,indexable,True,https://www.mychef.ae/blog/best-private-chef-birthday-dinner-dubai,"index, follow",Blog and Guides,private chef for birthday dinner dubai,False,pending page-family review,not yet reviewed,kept pending page-family approval
/blog/best-private-chefs-for-villas-in-dubai,200,indexable,True,https://www.mychef.ae/blog/best-private-chefs-for-villas-in-dubai,"index, follow",Blog and Guides,best private chefs for villas in dubai,False,pending page-family review,not yet reviewed,kept pending page-family approval
/blog/how-much-does-private-chef-cost-dubai,200,indexable,True,https://www.mychef.ae/blog/how-much-does-private-chef-cost-dubai,"index, follow",Blog and Guides,how much does private chef cost dubai,False,pending page-family review,not yet reviewed,kept pending page-family approval
/blog/how-to-hire-a-private-chef-dubai,200,indexable,True,https://www.mychef.ae/blog/how-to-hire-a-private-chef-dubai,"index, follow",Blog and Guides,how to hire a private chef dubai,False,pending page-family review,not yet reviewed,kept pending page-family approval
/blog/private-chef-date-night-dubai,200,noindex support,False,https://www.mychef.ae/blog/private-chef-date-night-dubai,"noindex, follow",Blog and Guides,private chef date night dubai,False,pending page-family review,not yet reviewed,kept pending page-family approval
