"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.mychef.ae/contact","1","Contact myCHEF Dubai for a private chef, catering, partnership or press enquiry. WhatsApp is usually fastest. We typically reply within 15 minutes during business hours.","169","1040","Indexable",""
"https://www.mychef.ae/catering-packages-dubai","1","Ready-to-book catering packages in Dubai for date nights, birthdays, family feasts & corporate dinners. From AED 1,200. Vetted chefs included. Request your quote.","162","1010","Indexable",""
"https://www.mychef.ae/conference-catering-dubai","1","Conference catering in Dubai with coffee breaks, working lunches & multi-day programmes. VAT/TRN invoicing, halal menus, account manager. Get a quote in 15 min.","160","1021","Indexable",""
"https://www.mychef.ae/best-catering-companies-dubai","1","The best catering companies in Dubai, compared on published figures: 102 per-head prices, per-format medians, stated minimums and notice periods. All source-linked.","164","1027","Indexable",""
"https://www.mychef.ae/chefs/marco-italian-chef","1","Marco Rossi, Independent partner chef in the myCHEF network. 15+ Years of Authentic Italian & Mediterranean for private dining in Dubai villas, yachts and homes.","161","1003","Indexable",""
"https://www.mychef.ae/birthday-catering-package-dubai","1","A fixed birthday catering package in Dubai: a private chef for 8–12 guests from AED 3,600, with menu, cake option and full service. Larger parties quoted separately.","165","1009","Indexable",""
"https://www.mychef.ae/postpartum-meal-prep-dubai","1","Postpartum meal prep in Dubai by a private chef. Nutrient-dense, culturally appropriate recovery meals for new mothers during the fourth trimester. Get a quote.","160","986","Indexable",""
"https://www.mychef.ae/trust-and-programs","1","How myCHEF works behind the booking: chef certification, quality guarantee, booking protection, membership, loyalty and referral programmes, and how to join us.","160","1007","Indexable",""
"https://www.mychef.ae/private-chef-dubai/how-it-works","1","How to get a cook in Dubai on a standing plan: the brief, the match, the Food Profile, onboarding and feedback. Full-time or part time cook in Dubai, managed for you.","166","1015","Indexable",""
"https://www.mychef.ae/canape-catering-dubai","1","Elegant canapé catering in Dubai. Passed, hot & cold bites for receptions, launches, weddings & corporate events. From AED __ per person — request a menu quote.","160","1003","Indexable",""
"https://www.mychef.ae/mothers-day-catering-dubai","1","Mother's Day catering in Dubai from AED 700pp — a brunch spread or afternoon tea, vetted chefs and full service. Bespoke menus for your event. Get an itemised quote.","165","1032","Indexable",""
"https://www.mychef.ae/chinese-new-year-catering-dubai","1","Chinese New Year catering in Dubai: Lunar New Year menus, dim sum, Peking duck, live noodle stations and family banquets at home or venues. Request a quote.","156","992","Indexable",""
"https://www.mychef.ae/exhibition-catering-dubai","1","Exhibition catering in Dubai for DWTC, Expo City & trade show stands. Branded counters, canapés, coffee stations & halal menus. VAT/TRN invoicing. Get a quote.","159","998","Indexable",""
"https://www.mychef.ae/jain-catering-dubai","1","Book Jain catering in Dubai. No-onion, no-garlic, root-vegetable-free menus for weddings, Paryushan and family celebrations. Get a tailored quote in 15 minutes.","160","986","Indexable",""
