keyword,search_volume_uae,intent,commercial_value_usd,serp_similarity_to_owner,ranking_difficulty,current_position_uae,gsc_impressions,gsc_ctr,bing_impressions,bing_ctr,competitor_gap,entity_coverage_tokens,exact_phrase_on_page,owner_page,role,recommended_page,action
catering dubai,2400,commercial,10896.0,1.0,21,,,,,,"competitor #6, we not in top 30",1.0,True,/catering-dubai,primary,/catering-dubai,keep (primary)
catering in dubai,2400,commercial,10896.0,,29,n/a,,,,,,1.0,True,/asian-catering-dubai,sub,/asian-catering-dubai,keep (sub)
catering service in dubai,2400,commercial,10896.0,0.3,8,,,,,,no tracked competitor in top 30,1.0,True,/catering-dubai,sub,/best-catering-companies-dubai,merge → /best-catering-companies-dubai
catering services dubai,2400,commercial,10896.0,0.3,8,,,,,,"competitor #6, we not in top 30",1.0,True,/catering-dubai,sub,/catering-dubai,keep (sub)
catering services in dubai,2400,commercial,10896.0,0.3,14,,,,,,"competitor #5, we not in top 30",1.0,True,/catering-dubai,sub,/catering-dubai,keep (sub)
top chef dubai,1600,informational,2336.0,,5,,,,,,"competitor #30, we not in top 30",0.5,False,,,,backlog
catering companies in dubai,1000,commercial,5070.0,0.5,25,,,,,,no tracked competitor in top 30,1.0,True,/best-catering-companies-dubai,sub,/best-catering-companies-dubai,keep (sub)
catering company dubai,1000,commercial,5070.0,0.5,22,,,,,,"competitor #8, we not in top 30",1.0,True,/best-catering-companies-dubai,sub,/best-catering-companies-dubai,keep (sub)
catering company in dubai,1000,commercial,5070.0,0.5,22,,,,,,"competitor #4, we not in top 30",1.0,True,/best-catering-companies-dubai,sub,/best-catering-companies-dubai,keep (sub)
dubai tattoo by chef,1000,commercial,210.0,,0,,,,,,"competitor #29, we not in top 30",,,,,,drop — off-intent
abu dhabi catering,880,commercial,0,,20,n/a,,,,,"competitor #7, we not in top 30",,,,,,drop — off-intent
caterers abu dhabi,880,commercial,0,,10,,,,,,"competitor #7, we not in top 30",,,,,,drop — off-intent
caterers close to me,880,commercial,0,,5,,,,,,"competitor #5, we not in top 30",1.0,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
caterers in near me,880,commercial,0,,6,,,,,,"competitor #4, we not in top 30",1.0,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
catering abu dhabi,880,commercial,0,,20,n/a,,,,,"competitor #4, we not in top 30",,,,,,drop — off-intent
catering close to me,880,commercial,0,,1,,,,,,"competitor #8, we not in top 30",1.0,False,,,,new page candidate (passes demand; apply the 3-of-8 rule)
